,dataset,lp_model,attack_method,exp_type,device,seed,attack_rate,attack_goal,run_time,space,cuda
53,CiteSeer,deepwalk,clga,poisoning,cuda:0,1,0.15,integrity,2418.18,2307.25,2866
54,CiteSeer,deepwalk,metattack,poisoning,cuda:0,1,0.1,integrity,512.12,2299.38,69800
55,CiteSeer,deepwalk,clga,poisoning,cuda:0,1,0.1,availability,1610.29,2299.65,2866
56,CiteSeer,deepwalk,dice,poisoning,cuda:0,1,0.05,integrity,2.47,8.2,3
57,CiteSeer,deepwalk,viking,poisoning,cuda:0,1,0.05,integrity,1.79,7.75,3
58,CiteSeer,deepwalk,nodeembeddingattack,poisoning,cuda:0,1,0.2,integrity,11.81,1675.02,1042
59,CiteSeer,deepwalk,pgd,poisoning,cuda:0,1,0.05,integrity,22.22,2291.63,1940
60,CiteSeer,deepwalk,clga,poisoning,cuda:0,1,0.05,availability,797.06,2291.87,2866
61,CiteSeer,deepwalk,aalp,poisoning,cuda:0,1,0.05,integrity,31.34,2331.59,700
62,CiteSeer,deepwalk,minmax,poisoning,cuda:0,1,0.2,availability,36.53,2281.13,1986
63,CiteSeer,deepwalk,aalp,poisoning,cuda:0,1,0.2,integrity,31.08,2319.05,2054
